,titulo,ubicacion,precio,Superficie,Habitaciones,Baños,Planta,Conservacion,Gastos de Comunidad,Amueblado,Balcon,Ascensor,Calefaccion,Garaje,Terraza,Trastero
0,Piso en venta en Calle de Rosalía de Castro,Centro-Areal (Distrito Casco Urbano. Vigo),284000,126.0,3.0,2.0,Planta: 6ª,Reformado,0,1,0,1,Central,1,1,0
1,"Piso en venta en Avenida de Balaidos, 13, cerca de Camino de Espedrigada",As Travesas-Balaídos (Distrito Casco Urbano. Vigo),196000,115.0,3.0,2.0,Planta: 1ª,A estrenar,Entre 40 y 60€,1,0,0,Calor azul,0,0,0
2,Piso en venta en Centro,Vilagarcía de Arousa,220000,122.0,3.0,2.0,,En buen estado,0,0,0,1,No tiene,0,0,1
3,Piso en venta en Travesía Barrio Ribadavia,A Salgueira-O Castaño (Distrito Casco Urbano. Vigo),63000,73.0,,,Planta: 1ª,A reformar,0,0,0,0,No tiene,0,0,1
4,"Apartamento en venta en Rúa Cuba, 2",Baiona,229000,78.0,2.0,2.0,Planta: 2ª,En buen estado,Entre 40 y 60€,1,0,1,Gas natural,1,0,0
5,"Piso en venta en Paseo de la Praia de Silgar, 64, cerca de Rúa Vigo",Sanxenxo,235000,62.0,2.0,2.0,Planta: 6ª,Reformado,0,1,0,1,No tiene,1,1,0
6,Piso en venta en Calle de Benito Corbal,Zona Praza de Barcelos (Pontevedra Capital),260900,155.0,4.0,2.0,Planta: 1ª,A reformar,Entre 40 y 60€,1,1,1,Central,1,0,0
7,"Apartamento en venta en Avenida de Lugo, 5, cerca de Calle de Faustino Santalices",A Seca-Os Salgueriños (Pontevedra Capital),150000,82.0,2.0,1.0,,En buen estado,0,1,0,1,Central,0,1,1
8,"Piso en venta en Calle de Caracas, 8",Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),270000,100.0,3.0,2.0,Planta: 2ª,En buen estado,0,1,0,1,Central,0,1,1
9,Piso en venta en Barro,Barro,132000,106.0,3.0,2.0,Planta: 1ª,En buen estado,65.00 euros.,1,0,0,Eléctrica,1,0,1
10,Piso en venta en Calle de Rua Cela,Darbo (Santa María). Municipio de Cangas,145000,60.0,2.0,1.0,,En buen estado,36.00 euros.,1,0,1,Eléctrica,1,1,0
11,Piso en venta en Calle Revolta Noalla,Noalla (Santo Estevo). Municipio de Sanxenxo,126000,51.0,1.0,1.0,Planta: 1ª,En buen estado,0,1,0,1,Eléctrica,1,1,0
12,Apartamento en venta en Rúa Vigo,Sanxenxo,160000,50.0,1.0,1.0,Planta: 3ª,En buen estado,0,1,1,1,Gas natural,0,0,0
13,Apartamento en venta en Casco Vello,Casco Vello (Distrito Casco Urbano. Vigo),760000,202.0,3.0,4.0,,En buen estado,0,0,0,0,No tiene,0,0,0
14,Piso en venta en Calle de la Virgen del Camino,Zona Praza de Barcelos (Pontevedra Capital),210000,81.0,2.0,1.0,Planta: 2ª,En buen estado,0,0,0,1,Gas natural,1,0,0
15,Piso en venta en Calle de la Historia,Zona Praza de Barcelos (Pontevedra Capital),345000,110.0,4.0,2.0,Planta: 1ª,En buen estado,Entre 40 y 60€,1,0,1,Gas natural,1,0,0
16,Piso en venta en Vilariño,O Hio (Santo Andre). Municipio de Cangas,155000,72.0,2.0,1.0,Planta: 2ª,En buen estado,Entre 40 y 60€,1,1,1,Eléctrica,1,1,0
17,Piso en venta en Pasaxe de San Bartolomeu,Centro-Echegaray (Pontevedra Capital),150000,85.0,3.0,1.0,Planta: 3ª,En buen estado,0,1,0,0,Central,0,0,1
18,Piso en venta en Plaza España,Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),130000,85.0,3.0,1.0,Planta: Bajo,En buen estado,0,1,0,0,No tiene,0,0,0
19,Piso en venta en Teis,Teis (Vigo),200000,130.0,3.0,2.0,Planta: 2ª,En buen estado,Entre 60 y 80€,1,0,1,Gas natural,1,0,0
20,Apartamento en venta en Rodeira,Coiro (San Salvador). Municipio de Cangas,90000,45.0,1.0,1.0,Planta: 5ª,En buen estado,0,0,0,1,No tiene,0,0,0
